known_tags,rec_1,rec_2,rec_3,rec_4,rec_5
"['optimization', 'string', 'data-structures', 'queue', 'sorting']",algorithm,recursion,list,boolean,hash
['string'],algorithm,arrays,optimization,list,sorting
"['hashtable', 'string', 'arrays', 'memory-management', 'sorting']",algorithm,optimization,list,data-structures,hashmap
['boolean'],queue,tree,substring,hashtable,graph
"['optimization', 'string', 'list']",algorithm,sorting,data-structures,hash,recursion
"['string', 'data-structures']",algorithm,optimization,sorting,list,memory-management
"['string', 'data-structures']",algorithm,list,optimization,sorting,memory-management
[],algorithm,string,arrays,optimization,data-structures
"['hashtable', 'string', 'arrays']",algorithm,optimization,memory-management,hashmap,list
[],algorithm,string,arrays,optimization,data-structures
"['arrays', 'sorting']",algorithm,optimization,data-structures,recursion,hash
['memory-management'],hash,recursion,boolean,hashtable,stack
"['optimization', 'string', 'hash', 'partitioning']",algorithm,sorting,memory-management,data-structures,list
"['string', 'memory-management']",optimization,algorithm,list,hash,sorting
"['probability', 'mathematical-optimization', 'complexity-theory', 'heuristics', 'p-np', 'turing-complete', 'algorithm', 'optimization', 'hash-collision', 'substring', 'hashtable', 'string', 'hash', 'hashmap', 'breadth-first-search', 'tree-traversal', 'binary-search-tree', 'binary-tree', 'tree', 'depth-first-search', 'data-structures', 'multidimensional-array', 'sparse-matrix', 'arrays', 'static-array', 'graph-theory', 'graph', 'heap-memory', 'stack', 'memory-management', 'queue', 'big-o', 'fibonacci', 'recursion', 'sorting', 'linked-list', 'singly-linked-list']",list,boolean,artificial-intelligence,time-complexity,dynamic-programming
"['algorithm', 'binary-tree', 'avl-tree']",optimization,heap,heap-memory,data-structures,memory-management
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'optimization', 'substring', 'time-complexity', 'bubble-sort', 'sorting']",complexity-theory,big-o,data-structures,memory-management,hash
"['tree', 'arrays', 'recursion']",optimization,data-structures,sorting,memory-management,hash
"['algorithm', 'string', 'hash', 'arrays']",list,optimization,recursion,memory-management,sorting
['optimization'],memory-management,hash,boolean,recursion,substring
"['algorithm', 'hash']",optimization,recursion,sorting,data-structures,memory-management
"['algorithm', 'sorting']",data-structures,optimization,recursion,boolean,memory-management
"['boolean', 'string-concatenation', 'string', 'data-structures', 'list']",algorithm,hash,memory-management,sorting,optimization
"['optimization', 'huffman-code', 'list']",binary-tree,data-structures,memory-management,sorting,insertion-sort
"['algorithm', 'hashtable', 'tree-traversal', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'graph-theory', 'graph', 'memory-management', 'sorting']",optimization,hashmap,binary-search-tree,heap-memory,recursion
"['optimization', 'string', 'arrays', 'memory-management', 'list']",algorithm,data-structures,sorting,hash,recursion
"['boolean', 'optimization', 'string', 'hash', 'data-structures', 'arrays', 'graph', 'recursion', 'sorting', 'linked-list', 'list']",algorithm,tree,queue,multidimensional-array,memory-management
['string'],arrays,algorithm,optimization,sorting,list
['string'],algorithm,arrays,optimization,list,sorting
"['artificial-intelligence', 'heuristics', 'algorithm', 'hash', 'b-tree', 'arrays', 'matrix-multiplication', 'memory-management', 'list']",optimization,sorting,data-structures,recursion,complexity-theory
"['string', 'arrays']",algorithm,optimization,list,sorting,recursion
"['string', 'sorting']",algorithm,optimization,list,data-structures,recursion
[],algorithm,string,arrays,optimization,data-structures
[],algorithm,string,arrays,optimization,data-structures
"['string', 'arrays', 'graph', 'memory-management', 'sorting']",algorithm,optimization,hash,artificial-intelligence,data-structures
"['boolean', 'artificial-intelligence', 'halting-problem', 'algorithm', 'optimization', 'string', 'hash', 'breadth-first-search', 'binary-tree', 'data-structures', 'arrays', 'adjacency-list', 'adjacency-matrix', 'graph-algorithm', 'heap-memory', 'stack', 'memory-management', 'fifo', 'queue', 'big-o', 'time-complexity', 'set', 'sorting', 'list', 'set-intersection']",complexity-theory,graph,linked-list,recursion,tree
"['complexity-theory', 'optimization']",big-o,artificial-intelligence,hash,recursion,time-complexity
['string'],algorithm,arrays,optimization,list,sorting
"['complexity-theory', 'optimization', 'tree', 'sorting']",big-o,hash,hashtable,recursion,boolean
[],algorithm,string,arrays,optimization,data-structures
['sorting'],optimization,data-structures,memory-management,tree,hashtable
['string'],arrays,algorithm,optimization,list,sorting
['arrays'],memory-management,algorithm,optimization,hash,list
"['optimization', 'substring', 'hashtable', 'string', 'sorting', 'list']",algorithm,memory-management,hash,data-structures,recursion
"['optimization', 'string', 'recursion', 'list']",sorting,algorithm,hash,data-structures,boolean
"['np-complete', 'mathematical-optimization', 'complexity-theory', 'boolean', 'algorithm', 'optimization', 'hashcode', 'substring', 'hash-function', 'hashtable', 'string', 'hashmap', 'multiway-tree', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'stack', 'memory-management', 'queue', 'dynamic-arrays', 'big-o', 'time-complexity', 'recursion', 'quicksort', 'binary-search', 'sorting', 'linked-list', 'list']",hash,set,graph,heap-memory,artificial-intelligence
"['artificial-intelligence', 'algorithm', 'string', 'hash', 'big-o', 'tail-recursion', 'recursion', 'list']",optimization,sorting,memory-management,data-structures,hash-collision
"['probability', 'complexity-theory', 'boolean', 'algorithm', 'optimization', 'hashtable', 'string', 'hash', 'data-structures', 'arrays', 'graph-theory', 'graph', 'shortest-path', 'queue', 'big-o', 'recursion', 'sorting', 'list']",artificial-intelligence,tree,string-concatenation,multidimensional-array,heuristics
['algorithm'],optimization,sorting,data-structures,boolean,recursion
['linear-search'],bitstring,graph-traversal,max-flow,set-union,consistent-hashing
"['algorithm', 'string', 'sparse-matrix', 'arrays', 'graph-theory', 'graph', 'recursion', 'set', 'sorting', 'list', 'set-difference']",data-structures,optimization,multidimensional-array,queue,hash
['arrays'],hash,optimization,algorithm,list,memory-management
"['algorithm', 'huffman-code', 'string', 'arrays']",data-structures,optimization,list,memory-management,sorting
[],algorithm,string,arrays,tail-recursion,optimization
"['string', 'data-structures', 'linked-list']",algorithm,optimization,list,memory-management,sorting
"['hash', 'hashmap']",set,multidimensional-array,stack,queue,recursion
"['artificial-intelligence', 'algorithm', 'string', 'hash', 'data-structures', 'arrays', 'dijkstra', 'graph-theory', 'path-finding', 'binary-search']",graph,optimization,tree,sorting,list
"['complexity-theory', 'algorithm', 'optimization', 'big-o']",artificial-intelligence,memory-management,data-structures,sorting,hash
['artificial-intelligence'],heuristics,combinatorics,graph-theory,mathematical-optimization,boolean-logic
"['artificial-intelligence', 'hashmap', 'data-structures']",graph,tree,complexity-theory,heap-memory,queue
['graph'],string-comparison,artificial-intelligence,string-matching,hashset,code-complexity
"['algorithm', 'optimization', 'string', 'data-structures', 'arrays', 'stack', 'time-complexity', 'recursion', 'set', 'sorting', 'list']",hash,memory-management,multidimensional-array,boolean,complexity-theory
"['optimization', 'list']",sorting,data-structures,recursion,hash,memory-management
"['boolean', 'arrays', 'list']",hash,optimization,memory-management,sorting,recursion
[],algorithm,string,arrays,optimization,graph
"['algorithm', 'queue']",boolean,optimization,sorting,hash,memory-management
['memory-management'],hash,recursion,hashtable,boolean,hashmap
"['artificial-intelligence', 'string']",algorithm,graph,optimization,sorting,list
"['algorithm', 'hash', 'arrays', 'queue', 'recursion', 'sorting', 'list']",memory-management,optimization,boolean,data-structures,multidimensional-array
['data-structures'],optimization,memory-management,hash,recursion,boolean
"['algorithm', 'arrays', 'traveling-salesman']",np-hard,optimization,directed-acyclic-graphs,graph-algorithm,sorting
['arrays'],algorithm,list,optimization,sorting,data-structures
"['algorithm', 'optimization', 'string', 'binary-tree', 'tree', 'data-structures', 'arrays', 'stack', 'memory-management', 'dynamic-allocation', 'big-o', 'sorting', 'linked-list']",list,time-complexity,hash,complexity-theory,recursion
"['tree', 'greedy']",code-complexity,partitioning,graph-theory,probability,boolean-logic
"['string', 'list']",algorithm,arrays,optimization,sorting,data-structures
"['string', 'data-structures']",algorithm,list,optimization,sorting,memory-management
"['algorithm', 'string', 'arrays']",optimization,sorting,list,data-structures,recursion
"['binary-search', 'list']",optimization,data-structures,hashcode,queue,complexity-theory
['list'],optimization,algorithm,data-structures,sorting,recursion
"['boolean', 'string', 'arrays', 'sorting']",algorithm,optimization,memory-management,data-structures,list
"['algorithm', 'multidimensional-array', 'arrays']",memory-management,hash,optimization,recursion,sorting
"['algorithm', 'optimization', 'lcs', 'string', 'arrays', 'partitioning', 'sorting', 'list']",data-structures,tree,recursion,graph-theory,memory-management
"['artificial-intelligence', 'algorithm', 'optimization', 'hashtable', 'string', 'hash', 'data-structures', 'priority-queue', 'memory-management', 'queue', 'list']",sorting,tree,graph,hashmap,binary-tree
['string'],arrays,algorithm,optimization,sorting,list
[],algorithm,string,arrays,optimization,data-structures
['sorting'],boolean,optimization,hash,recursion,data-structures
[],algorithm,string,arrays,optimization,data-structures
"['complexity-theory', 'algorithm', 'optimization', 'time-complexity', 'recursion']",data-structures,memory-management,sorting,hash,artificial-intelligence
[],algorithm,string,arrays,optimization,data-structures
['boolean'],queue,tree,multidimensional-array,graph,hashtable
['optimization'],memory-management,hash,recursion,hashtable,linked-list
[],algorithm,string,arrays,optimization,data-structures
"['optimization', 'data-structures']",memory-management,recursion,boolean,hash,hashmap
['algorithm'],optimization,data-structures,sorting,memory-management,hash
['string'],arrays,algorithm,list,optimization,sorting
"['optimization', 'arrays', 'sorting']",algorithm,data-structures,hash,recursion,memory-management
"['algorithm', 'optimization', 'arrays']",sorting,data-structures,memory-management,recursion,tree
"['optimization', 'string', 'arrays', 'recursion']",algorithm,list,sorting,hash,data-structures
['algorithm'],optimization,sorting,data-structures,np-complete,heuristics
[],algorithm,string,arrays,optimization,data-structures
['string'],algorithm,arrays,optimization,sorting,list
"['string', 'arrays', 'memory-management']",algorithm,optimization,list,data-structures,sorting
"['arrays', 'memory-management']",algorithm,optimization,hash,sorting,data-structures
"['algorithm', 'queue']",optimization,boolean,sorting,memory-management,data-structures
"['algorithm', 'breadth-first-search', 'binary-tree', 'recursion']",optimization,data-structures,time-complexity,knapsack-problem,big-o
"['hashtable', 'string', 'arrays']",algorithm,optimization,memory-management,list,stack
['optimization'],memory-management,hash,boolean,recursion,substring
"['string', 'sorting', 'list']",algorithm,optimization,data-structures,hash,recursion
"['arrays', 'memory-management']",algorithm,optimization,hash,multidimensional-array,substring
"['string', 'hash', 'arrays']",recursion,algorithm,list,sorting,optimization
"['algorithm', 'string']",arrays,optimization,list,sorting,data-structures
['data-structures'],optimization,memory-management,linked-list,hashtable,tree
['string'],algorithm,optimization,arrays,list,sorting
"['algorithm', 'optimization', 'string', 'hashmap', 'tree', 'multidimensional-array', 'arrays', 'list']",queue,data-structures,memory-management,sorting,hashtable
"['algorithm', 'optimization', 'tree', 'data-structures', 'graph-theory', 'memory-management', 'fifo']",partitioning,sorting,recursion,linked-list,complexity-theory
['hashmap'],hashtable,stack,linked-list,tree,multidimensional-array
"['artificial-intelligence', 'tree', 'list']",optimization,sorting,data-structures,boolean,recursion
"['algorithm', 'string', 'big-o', 'sorting', 'list']",optimization,data-structures,memory-management,complexity-theory,tree
"['boolean', 'optimization', 'substring', 'multidimensional-array', 'arrays', 'memory-management', 'dynamic-arrays', 'sorting']",data-structures,hash,recursion,big-o,set
['optimization'],memory-management,recursion,hash,substring,hashtable
"['algorithm', 'optimization', 'string-concatenation', 'substring', 'string', 'stack', 'binary-search', 'linked-list']",heap-memory,list,hashcode,hashset,hashtable
"['hash', 'list']",optimization,recursion,sorting,data-structures,memory-management
"['algorithm', 'string', 'memory-management']",optimization,data-structures,list,sorting,hashtable
"['priority-queue', 'queue', 'set']",binary-search,hashset,tree,string-comparison,matrix-multiplication
"['algorithm', 'string', 'data-structures', 'sorting', 'list']",optimization,memory-management,recursion,hash,boolean
"['string', 'graph', 'recursion', 'list']",hash,sorting,algorithm,optimization,data-structures
['arrays'],algorithm,optimization,list,sorting,data-structures
"['optimization', 'graph']",artificial-intelligence,heuristics,recursion,tree,graph-theory
"['complexity-theory', 'algorithm', 'optimization', 'tree', 'data-structures', 'clique', 'graph-theory', 'memory-management', 'big-o', 'recursion']",sorting,artificial-intelligence,hash,graph-algorithm,time-complexity
"['string', 'arrays']",algorithm,optimization,list,sorting,data-structures
"['probability', 'string', 'data-structures']",algorithm,optimization,list,memory-management,finite-automata
['queue'],graph,string-comparison,partitioning,string-matching,artificial-intelligence
"['string', 'arrays']",algorithm,optimization,list,sorting,data-structures
[],algorithm,string,arrays,optimization,data-structures
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'arrays', 'sorting', 'list']",optimization,data-structures,recursion,hash,memory-management
"['artificial-intelligence', 'algorithm', 'optimization', 'string', 'tree-traversal', 'binary-tree', 'data-structures', 'multidimensional-array', 'arrays', 'graph', 'stack', 'big-o', 'recursion', 'sorting', 'list']",complexity-theory,memory-management,hash,time-complexity,linked-list
['string'],arrays,algorithm,optimization,sorting,list
['arrays'],algorithm,optimization,list,hash,sorting
['string'],algorithm,optimization,arrays,sorting,list
"['optimization', 'partitioning', 'sorting']",code-complexity,tree,string-matching,recursion,hashtable
['string'],algorithm,arrays,optimization,list,sorting
['string'],algorithm,arrays,optimization,list,sorting
['arrays'],algorithm,optimization,data-structures,list,sorting
['algorithm'],optimization,data-structures,sorting,memory-management,hash
['queue'],graph,string-comparison,artificial-intelligence,string-matching,hashset
['arrays'],algorithm,optimization,list,sorting,data-structures
['arrays'],algorithm,optimization,data-structures,list,sorting
['string'],algorithm,optimization,arrays,sorting,list
"['algorithm', 'optimization', 'string']",list,data-structures,sorting,memory-management,recursion
"['graph', 'list']",hash,sorting,optimization,artificial-intelligence,data-structures
"['algorithm', 'string', 'data-structures']",optimization,list,sorting,memory-management,recursion
"['optimization', 'hash']",recursion,boolean,multidimensional-array,set,stack
['optimization'],substring,hash,boolean,memory-management,recursion
"['string', 'queue']",algorithm,hash,boolean,memory-management,optimization
"['np-hard', 'algorithm', 'optimization', 'string', 'data-structures', 'queue', 'list']",traveling-salesman,sorting,big-o,recursion,hash
"['algorithm', 'substring', 'hash', 'sorting']",memory-management,optimization,hashtable,boolean,data-structures
[],algorithm,string,arrays,optimization,probability
"['string', 'arrays', 'memory-management', 'sorting', 'list']",algorithm,optimization,data-structures,hash,recursion
['string'],algorithm,arrays,optimization,list,sorting
"['finite-automata', 'boolean', 'artificial-intelligence', 'heuristics', 'algorithm', 'optimization', 'substring', 'hashtable', 'string', 'data-structures', 'arrays', 'graph', 'stack', 'queue', 'tail-recursion', 'recursion', 'sorting', 'linked-list']",list,hash,memory-management,tree,hashmap
"['recursion', 'list']",optimization,sorting,hash,data-structures,boolean
"['algorithm', 'optimization', 'arrays', 'heap-memory']",memory-management,data-structures,binary-tree,sorting,mergesort
"['artificial-intelligence', 'optimization', 'string', 'arrays', 'sorting']",algorithm,list,data-structures,hash,heuristics
['optimization'],hash,memory-management,recursion,boolean,substring
['queue'],graph,string-comparison,string-matching,hashset,artificial-intelligence
"['optimization', 'hash']",recursion,boolean,multidimensional-array,substring,string-concatenation
"['string', 'arrays']",algorithm,optimization,list,sorting,data-structures
['string'],algorithm,arrays,optimization,list,sorting
"['optimization', 'directed-acyclic-graphs', 'b-tree', 'data-structures', 'arrays', 'queue', 'time-complexity', 'sorting']",tree,linked-list,set,recursion,memory-management
['hash'],recursion,multidimensional-array,set,stack,boolean
[],algorithm,string,arrays,optimization,proof
"['hash', 'memory-management']",multidimensional-array,recursion,hashtable,boolean,stack
"['optimization', 'hashcode', 'arrays']",string-matching,string-concatenation,multidimensional-array,boolean-operations,sorting
['recursion'],set,boolean,multidimensional-array,stack,substring
"['string', 'memory-management']",algorithm,optimization,list,data-structures,sorting
"['algorithm', 'arrays', 'bubble-sort', 'sorting']",optimization,data-structures,memory-management,complexity-theory,binary-tree
"['algorithm', 'memory-management', 'sorting', 'list']",optimization,data-structures,linked-list,recursion,hashmap
"['algorithm', 'optimization', 'hashcode', 'string', 'hashmap', 'data-structures', 'arrays', 'stack', 'queue', 'linked-list']",heap-memory,hashtable,binary-search,list,memory-management
"['heuristics', 'algorithm', 'optimization', 'substring', 'string', 'arrays', 'memory-management', 'binary-search', 'linked-list']",data-structures,list,sorting,complexity-theory,hash
"['string', 'list']",algorithm,arrays,optimization,sorting,data-structures
"['algorithm', 'data-structures', 'graph-theory', 'graph']",artificial-intelligence,optimization,sorting,hash,recursion
"['algorithm', 'hash']",recursion,optimization,sorting,data-structures,memory-management
['arrays'],algorithm,optimization,list,sorting,data-structures
['linked-list'],tree,stack,partitioning,binary-tree,queue
"['string', 'arrays', 'memory-management', 'tail-recursion', 'time-complexity', 'recursion', 'sorting', 'list']",algorithm,optimization,data-structures,hash,set
"['string', 'graph', 'memory-management', 'list']",string-concatenation,hash,multidimensional-array,queue,algorithm
"['complexity-theory', 'algorithm', 'optimization', 'string', 'arrays', 'stack', 'big-o', 'list']",heap-memory,data-structures,binary-tree,memory-management,sorting
"['finite-automata', 'boolean-logic', 'turing-complete', 'algorithm', 'optimization', 'string', 'hash', 'data-structures', 'arrays']",memory-management,list,sorting,np-complete,set-theory
['list'],algorithm,optimization,sorting,data-structures,recursion
[],algorithm,string,arrays,optimization,graph
[],algorithm,string,arrays,optimization,graph
"['boolean-operations', 'algorithm', 'hashcode', 'substring', 'hashset', 'string', 'hash', 'hashmap', 'arrays', 'heap-memory', 'sorting', 'list']",optimization,hashtable,memory-management,boolean-logic,data-structures
"['boolean', 'algorithm', 'optimization', 'string', 'data-structures', 'arrays', 'memory-management', 'sorting', 'linked-list', 'list']",recursion,hash,tree,multidimensional-array,hashtable
['algorithm'],optimization,data-structures,sorting,tree,memory-management
['string'],algorithm,arrays,optimization,list,sorting
"['mathematical-optimization', 'complexity-theory', 'boolean-logic', 'boolean', 'turing-complete', 'boolean-expression', 'algorithm', 'optimization', 'stability', 'substring', 'hashtable', 'string-comparison', 'hashset', 'string', 'hash', 'hashmap', 'binary-search-tree', 'binary-tree', 'b-tree', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'matrix-multiplication', 'graph-theory', 'graph', 'priority-queue', 'heap-memory', 'stack', 'memory-management', 'stack-memory', 'big-o', 'tail-recursion', 'time-complexity', 'fibonacci', 'recursion', 'asymptotic-complexity', 'set', 'quicksort', 'binary-search', 'bubble-sort', 'sorting', 'linked-list', 'list']",probability,mergesort,hashcode,artificial-intelligence,heap
"['optimization', 'string', 'memory-management', 'sorting', 'list']",algorithm,data-structures,hash,boolean,hashtable
[],algorithm,string,mathematical-optimization,arrays,tail-recursion
"['optimization', 'stack']",hashtable,hashmap,hash,recursion,heap-memory
[],algorithm,string,arrays,optimization,data-structures
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'string']",arrays,sorting,optimization,list,data-structures
"['hash', 'arrays', 'memory-management', 'set']",recursion,optimization,data-structures,sorting,multidimensional-array
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'optimization', 'string', 'hash', 'arrays', 'set', 'sorting', 'list']",recursion,data-structures,memory-management,stack,multidimensional-array
"['boolean', 'optimization', 'hashcode', 'string', 'arrays', 'memory-management', 'binary-search', 'sorting', 'list']",algorithm,hash,data-structures,recursion,hashtable
[],algorithm,string,arrays,optimization,data-structures
['arrays'],algorithm,optimization,sorting,list,data-structures
"['hashset', 'hashmap']",string-comparison,stack,binary-search,queue,tree
"['hashtable', 'data-structures']",heap-memory,hash,recursion,linked-list,substring
"['data-structures', 'arrays']",algorithm,optimization,sorting,memory-management,tree
['sparse-array'],minimax,consistent-hashing,np,lifo,string-algorithm
[],algorithm,string,arrays,optimization,data-structures
"['complexity-theory', 'boolean-logic', 'boolean', 'artificial-intelligence', 'algorithm', 'optimization', 'string-concatenation', 'substring', 'hash-function', 'hashtable', 'string-comparison', 'hashset', 'string', 'hash', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'a-star', 'floyd-warshall', 'heap-memory', 'stack', 'memory-management', 'stack-memory', 'queue', 'dynamic-arrays', 'big-o', 'partitioning', 'time-complexity', 'fibonacci', 'recursion', 'set', 'sorting', 'linked-list', 'list', 'amortized-analysis']",graph,hashmap,hashcode,binary-search,probability
['recursion'],multidimensional-array,string-concatenation,set,stack,boolean
"['string', 'hashmap']",algorithm,optimization,memory-management,stack,data-structures
"['hashtable', 'string-comparison', 'string', 'hashmap', 'arrays', 'heap-memory', 'list']",algorithm,optimization,memory-management,hashset,stack
"['optimization', 'string', 'binary-search', 'list']",algorithm,heap-memory,hashmap,queue,memory-management
[],algorithm,string,arrays,optimization,data-structures
"['complexity-theory', 'heuristics', 'algorithm', 'optimization', 'string', 'data-structures', 'memory-management', 'recursion', 'sorting', 'linked-list', 'list']",hash,boolean,tree,graph-theory,artificial-intelligence
['string'],arrays,algorithm,optimization,list,sorting
"['algorithm', 'string', 'arrays', 'sorting']",optimization,list,data-structures,recursion,hash
['arrays'],algorithm,optimization,list,sorting,recursion
['algorithm'],optimization,tree,data-structures,sorting,memory-management
"['algorithm', 'directed-acyclic-graphs', 'memory-management']",traveling-salesman,optimization,directed-graph,graph-theory,binary-tree
"['algorithm', 'string', 'hash', 'arrays', 'sorting']",optimization,list,recursion,data-structures,boolean
[],algorithm,string,arrays,optimization,probability
['arrays'],algorithm,optimization,list,sorting,data-structures
"['hash', 'hashmap', 'recursion']",set,stack,heap-memory,linked-list,hashtable
"['complexity-theory', 'algorithm', 'optimization', 'string', 'hash', 'hashmap', 'data-structures', 'arrays', 'stack', 'queue', 'big-o', 'time-complexity', 'fibonacci', 'linked-list', 'set-theory']",list,sorting,boolean,memory-management,set
"['complexity-theory', 'algorithm', 'optimization', 'string', 'arrays', 'queue']",list,data-structures,multidimensional-array,memory-management,sorting
"['hashmap', 'arrays']",memory-management,optimization,hashtable,data-structures,stack
"['string', 'arrays']",algorithm,optimization,list,memory-management,data-structures
"['algorithm', 'substring', 'string', 'hash', 'tree', 'arrays', 'priority-queue', 'sorting', 'linked-list']",optimization,data-structures,boolean,memory-management,list
"['algorithm', 'data-structures', 'sorting']",optimization,memory-management,hash,recursion,boolean
"['complexity-theory', 'algorithm']",big-o,optimization,memory-management,sorting,data-structures
[],algorithm,string,arrays,optimization,data-structures
[],algorithm,string,arrays,optimization,data-structures
['algorithm'],optimization,data-structures,sorting,tree,recursion
[],algorithm,string,arrays,optimization,data-structures
['arrays'],algorithm,optimization,list,sorting,hash
[],algorithm,string,arrays,optimization,graph
['queue'],graph,string-matching,string-comparison,partitioning,artificial-intelligence
"['algorithm', 'string', 'shortest-path']",artificial-intelligence,heuristics,graph,directed-graph,optimization
['optimization'],memory-management,hash,hashtable,recursion,boolean
['recursion'],boolean,multidimensional-array,set,string-concatenation,substring
"['np-complete', 'algorithm', 'string', 'arrays']",optimization,artificial-intelligence,heuristics,list,sorting
"['boolean', 'algorithm', 'string', 'multidimensional-array', 'arrays', 'big-o', 'list']",optimization,data-structures,complexity-theory,sorting,hash
"['np-complete', 'boolean', 'turing-machines', 'algorithm', 'optimization', 'string', 'breadth-first-search', 'binary-tree', 'data-structures', 'multidimensional-array', 'arrays', 'dijkstra', 'graph-theory', 'priority-queue', 'heap-memory', 'stack', 'memory-management', 'heap', 'dynamic-arrays', 'fibonacci', 'recursion', 'set', 'sorting', 'linked-list', 'list']",probability,hash,avl-tree,graph,binary-search-tree
['arrays'],algorithm,optimization,list,sorting,partitioning
['algorithm'],optimization,data-structures,sorting,memory-management,complexity-theory
"['string', 'data-structures', 'memory-management']",algorithm,optimization,list,sorting,recursion
"['complexity-theory', 'boolean', 'abstract-data-type', 'algorithm', 'optimization', 'string', 'hash', 'hashmap', 'breadth-first-search', 'binary-tree', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'graph-theory', 'graph', 'heap-memory', 'stack', 'memory-management', 'dynamic-allocation', 'stack-memory', 'big-o', 'partitioning', 'time-complexity', 'recursion', 'set', 'sorting', 'linked-list', 'list', 'amortized-analysis']",hashtable,quicksort,queue,avl-tree,priority-queue
"['np-complete', 'string', 'queue']",algorithm,heuristics,graph,mathematical-optimization,complexity-theory
['arrays'],algorithm,optimization,list,sorting,recursion
['optimization'],recursion,substring,boolean,memory-management,tree
['arrays'],algorithm,optimization,list,sorting,data-structures
"['algorithm', 'optimization', 'string-matching', 'string', 'hash', 'hashmap', 'multidimensional-array', 'arrays', 'heap-memory', 'stack', 'memory-management', 'code-complexity', 'fibonacci', 'recursion', 'set', 'quicksort', 'sorting', 'list']",data-structures,boolean-expression,string-concatenation,queue,string-substitution
"['boolean', 'algorithm', 'hashtable', 'string', 'data-structures', 'memory-management']",optimization,hash,list,sorting,recursion
['string'],algorithm,arrays,optimization,sorting,list
"['string', 'arrays']",algorithm,optimization,list,sorting,hash
"['turing-machines', 'halting-problem']",directed-graph,tree-traversal,traveling-salesman,directed-acyclic-graphs,binary-search-tree
"['algorithm', 'optimization', 'string', 'arrays', 'list']",sorting,data-structures,recursion,hash,memory-management
['algorithm'],optimization,data-structures,tree,sorting,memory-management
"['algorithm', 'optimization', 'string', 'hash', 'data-structures', 'arrays', 'queue', 'big-o', 'set', 'sorting', 'list', 'set-theory']",recursion,boolean,multidimensional-array,memory-management,string-concatenation
[],algorithm,string,arrays,optimization,data-structures
['algorithm'],optimization,sorting,data-structures,recursion,memory-management
"['mathematical-optimization', 'artificial-intelligence', 'boolean-operations', 'algorithm', 'optimization', 'graph']",sorting,heuristics,hash,hashcode,combinatorics
"['algorithm', 'optimization', 'string', 'data-structures', 'arrays', 'recursion', 'set', 'list']",hash,memory-management,stack,sorting,multidimensional-array
"['optimization', 'string', 'hash', 'hashmap', 'arrays']",hashtable,memory-management,algorithm,list,sorting
"['string', 'memory-management', 'sorting']",algorithm,optimization,list,data-structures,hash
"['complexity-theory', 'optimization', 'big-o']",time-complexity,hash,recursion,boolean,artificial-intelligence
['string'],algorithm,optimization,arrays,list,sorting
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'optimization', 'substring']",sorting,hash,data-structures,memory-management,recursion
['sorting'],optimization,data-structures,memory-management,tree,recursion
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'string', 'hash', 'memory-management', 'linked-list']",optimization,data-structures,list,sorting,recursion
"['string', 'data-structures', 'list']",algorithm,optimization,sorting,hash,memory-management
"['optimization', 'string', 'data-structures', 'arrays', 'stack', 'memory-management']",algorithm,hash,list,sorting,recursion
"['string', 'data-structures']",algorithm,optimization,sorting,list,recursion
"['algorithm', 'string', 'arrays', 'graph', 'sorting']",optimization,list,recursion,hash,data-structures
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'optimization', 'recursion']",sorting,hash,data-structures,memory-management,boolean
"['probability', 'arrays', 'sorting']",optimization,data-structures,memory-management,recursion,code-complexity
"['boolean', 'non-deterministic', 'optimization']",recursion,linked-list,set,stack,hashmap
"['dijkstra', 'graph', 'queue', 'list']",data-structures,sorting,optimization,graph-theory,path-finding
['data-structures'],optimization,memory-management,boolean,tree,hashtable
"['optimization', 'arrays']",algorithm,sorting,data-structures,memory-management,recursion
"['mathematical-optimization', 'algorithm']",tail-recursion,hash-collision,np-complete,optimization,linear-programming
['string'],algorithm,arrays,optimization,sorting,list
"['complexity-theory', 'algorithm', 'optimization', 'data-structures']",big-o,memory-management,sorting,hash,boolean
"['algorithm', 'hash', 'arrays', 'recursion']",optimization,sorting,data-structures,memory-management,set
['algorithm'],optimization,sorting,data-structures,recursion,memory-management
"['non-deterministic', 'algorithm', 'hash', 'arrays', 'sorting']",optimization,data-structures,set,memory-management,recursion
"['string', 'breadth-first-search', 'depth-first-search', 'graph-theory']",algorithm,artificial-intelligence,knapsack-problem,optimization,sorting
['algorithm'],optimization,sorting,data-structures,tree,memory-management
"['complexity-theory', 'heuristics', 'algorithm', 'hashtable', 'string', 'hash', 'arrays', 'sorting', 'list']",optimization,memory-management,artificial-intelligence,boolean-logic,data-structures
