known_tags,rec_1,rec_2,rec_3,rec_4,rec_5
"['boolean', 'hash']",multidimensional-array,substring,queue,set,string-concatenation
"['queue', 'list']",graph,string-comparison,string-matching,hashset,artificial-intelligence
"['complexity-theory', 'multidimensional-array', 'arrays', 'big-o']",tree,artificial-intelligence,graph,binary-tree,graph-theory
"['string', 'list']",algorithm,optimization,sorting,hash,recursion
['string'],algorithm,optimization,arrays,sorting,list
"['algorithm', 'data-structures', 'multidimensional-array', 'arrays']",queue,set,string-concatenation,tree,hashset
"['string', 'hash', 'arrays', 'graph', 'sorting']",artificial-intelligence,string-matching,string-comparison,heuristics,boolean-logic
"['string', 'memory-management']",hash,recursion,boolean,hashtable,substring
['artificial-intelligence'],heuristics,graph-theory,boolean-logic,np-complete,probability
"['algorithm', 'data-structures', 'arrays']",optimization,memory-management,boolean,recursion,hash
"['proof', 'algorithm', 'optimization', 'substring', 'hashtable', 'string', 'hash', 'hashmap', 'tree', 'data-structures', 'arrays', 'priority-queue', 'stack', 'queue', 'tail-recursion', 'recursion', 'sorting', 'linked-list', 'list', 'set-theory']",string-substitution,minimax,subset-sum,backtracking,automata
['optimization'],memory-management,hashtable,recursion,tree,boolean
['optimization'],memory-management,hashtable,boolean,recursion,hash
"['string', 'hash', 'graph']",artificial-intelligence,heuristics,boolean-logic,string-matching,graph-theory
"['algorithm', 'string', 'list']",optimization,sorting,data-structures,recursion,memory-management
"['algorithm', 'knapsack-problem']",clique,np,adjacency-matrix,bellman-ford,planar-graph
"['algorithm', 'substring', 'string']",boolean-logic,stack,string-matching,string-concatenation,graph
[],algorithm,string,arrays,optimization,data-structures
['string'],algorithm,arrays,optimization,sorting,list
['sorting'],optimization,data-structures,hash,recursion,memory-management
"['algorithm', 'string', 'arrays', 'list']",optimization,sorting,data-structures,recursion,memory-management
[],algorithm,string,arrays,optimization,probability
"['artificial-intelligence', 'heuristics', 'boolean-expression', 'algorithm', 'optimization', 'hashcode', 'substring', 'hashtable', 'huffman-code', 'hashset', 'string', 'hash', 'hashmap', 'binary-search-tree', 'binary-tree', 'b-tree', 'multiway-tree', 'data-structures', 'arrays', 'a-star', 'path-finding', 'priority-queue', 'heap-memory', 'stack', 'memory-management', 'stack-memory', 'heap', 'queue', 'big-o', 'time-complexity', 'recursion', 'set', 'radix-sort', 'sorting', 'linked-list', 'list']",adjacency-matrix,consistent-hashing,amortized-analysis,bipartite,bucket-sort
['list'],algorithm,optimization,sorting,data-structures,recursion
"['string', 'memory-management']",hash,boolean,queue,recursion,hashtable
"['algorithm', 'string', 'tail-recursion', 'recursion']",graph,mathematical-optimization,backtracking,probability,boolean-operations
['sorting'],optimization,hash,data-structures,recursion,boolean
"['arrays', 'list']",algorithm,optimization,sorting,data-structures,memory-management
['string-comparison'],hashset,boolean-operations,boolean-expression,code-complexity,heuristics
"['optimization', 'string', 'memory-management', 'sorting', 'list']",hash,hashtable,linked-list,recursion,hashmap
"['algorithm', 'optimization', 'string']",memory-management,recursion,boolean,hash,hashtable
"['boolean', 'optimization', 'substring', 'string', 'hash', 'arrays', 'heap-memory', 'stack', 'memory-management', 'dynamic-arrays', 'sorting', 'linked-list']",singly-linked-list,variable-length-array,non-deterministic,b-tree,doubly-linked-list
"['proof', 'probability', 'np-complete', 'complexity-theory', 'subset-sum', 'halting-problem', 'turing-complete', 'algorithm', 'optimization', 'string', 'hash', 'b-tree', 'data-structures', 'priority-queue', 'memory-management', 'fibonacci-heap', 'heap', 'queue', 'time-complexity']",string-algorithm,amortized-analysis,minimax,knapsack-problem,traveling-salesman
"['algorithm', 'optimization', 'string', 'b-tree', 'data-structures', 'arrays', 'memory-management', 'queue', 'linked-list', 'list']",sparse-array,greedy,string-substitution,set-theory,matrix-multiplication
"['algorithm', 'arrays']",optimization,sorting,data-structures,recursion,boolean
['string'],algorithm,arrays,optimization,list,sorting
"['string', 'arrays', 'stack', 'memory-management', 'recursion', 'linked-list', 'list']",tree,queue,priority-queue,binary-tree,string-comparison
"['directed-acyclic-graphs', 'tree', 'graph-theory']",traveling-salesman,np-hard,knapsack-problem,recursive-datastructures,np
"['algorithm', 'hash']",recursion,stack,multidimensional-array,substring,boolean
"['np-complete', 'linear-programming', 'artificial-intelligence', 'turing-complete', 'algorithm', 'optimization', 'hashtable', 'string', 'hashmap', 'data-structures', 'arrays', 'directed-graph', 'stack', 'recursion', 'combinatorics', 'sorting', 'list', 'amortized-analysis']",edmonds-karp,ford-fulkerson,proof-of-correctness,tree-search,master-theorem
"['algorithm', 'substring', 'arrays']",boolean-logic,string-matching,string-concatenation,stack,tree
['arrays'],algorithm,optimization,list,sorting,data-structures
"['optimization', 'data-structures', 'arrays', 'priority-queue', 'memory-management']",fifo,heap,bubble-sort,tree-traversal,b-tree
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'optimization', 'string', 'hash', 'arrays', 'graph-theory', 'memory-management', 'sorting', 'linked-list', 'list']",partitioning,code-complexity,directed-graph,priority-queue,probability
"['algorithm', 'string', 'queue']",graph,string-matching,partitioning,code-complexity,string-comparison
"['algorithm', 'optimization', 'substring', 'string-comparison', 'string', 'hash', 'data-structures', 'arrays', 'memory-management', 'queue', 'sorting', 'list']",boolean-logic,hashset,binary-search,code-complexity,partitioning
"['complexity-theory', 'optimization', 'hashcode', 'hash-collision', 'string', 'hash', 'data-structures', 'arrays', 'memory-management', 'list']",set-theory,heuristics,backtracking,linear-programming,sparse-matrix
['algorithm'],optimization,data-structures,sorting,memory-management,tree
"['optimization', 'string', 'arrays']",recursion,substring,hash,memory-management,boolean
"['artificial-intelligence', 'algorithm', 'optimization', 'hashcode', 'hashtable', 'string-comparison', 'string', 'stack', 'memory-management', 'recursion', 'set', 'sorting', 'linked-list', 'list']",hashset,binary-search,probability,heuristics,boolean-logic
"['algorithm', 'optimization', 'string', 'hash', 'data-structures', 'sparse-matrix', 'arrays', 'graph', 'stack', 'memory-management', 'queue', 'sorting', 'list', 'set-theory']",backtracking,string-substitution,adjacency-list,subset-sum,minimax
"['string', 'set', 'list']",queue,stack,tree,string-concatenation,string-matching
"['algorithm', 'optimization', 'arrays', 'linked-list', 'list']",tree,binary-tree,priority-queue,stack,bubble-sort
['memory-management'],hash,recursion,hashtable,multidimensional-array,queue
"['algorithm', 'arrays', 'sorting', 'list']",optimization,data-structures,recursion,hash,boolean
"['boolean-expression', 'algorithm', 'optimization', 'substring', 'string', 'arrays', 'memory-management', 'time-complexity', 'set', 'sorting', 'list']",set-theory,string-substitution,stability,hash-collision,heap
[],algorithm,string,arrays,optimization,data-structures
[],algorithm,string,arrays,optimization,graph
"['algorithm', 'string', 'data-structures', 'sorting', 'list']",optimization,recursion,boolean,memory-management,hash
"['boolean', 'algorithm', 'optimization', 'hashcode', 'substring', 'string', 'data-structures', 'arrays']",boolean-expression,boolean-operations,boolean-logic,string-comparison,queue
['graph'],artificial-intelligence,heuristics,graph-theory,combinatorics,probability
"['optimization', 'string']",recursion,hash,boolean,substring,graph
"['algorithm', 'substring', 'string', 'data-structures', 'list']",boolean-logic,tree,fibonacci,string-matching,stack
"['string', 'list']",algorithm,optimization,sorting,data-structures,recursion
['algorithm'],optimization,data-structures,sorting,tree,memory-management
"['algorithm', 'optimization', 'string', 'data-structures', 'arrays', 'a-star', 'dynamic-arrays', 'set', 'list']",abstract-data-type,avl-tree,red-black-tree,sparse-array,non-deterministic
['optimization'],memory-management,hash,recursion,hashtable,boolean
"['artificial-intelligence', 'algorithm', 'string-concatenation']",string-comparison,probability,heuristics,boolean-logic,graph-theory
['arrays'],algorithm,optimization,sorting,list,data-structures
"['arrays', 'list']",algorithm,optimization,sorting,recursion,hash
"['algorithm', 'string', 'hash']",recursion,boolean,substring,stack,multidimensional-array
['algorithm'],optimization,data-structures,sorting,memory-management,tree
['arrays'],algorithm,optimization,list,data-structures,memory-management
"['algorithm', 'string', 'arrays']",optimization,sorting,data-structures,memory-management,recursion
['list'],algorithm,optimization,data-structures,sorting,recursion
"['boolean', 'arrays']",queue,tree,multidimensional-array,hashtable,graph
"['hashcode', 'substring', 'string', 'arrays', 'time-complexity', 'sorting']",set-theory,string-substitution,tail-recursion,hash-collision,turing-complete
"['complexity-theory', 'boolean', 'turing-machines', 'halting-problem', 'formal-languages', 'algorithm', 'optimization', 'hash-function', 'hashtable', 'string', 'tree', 'data-structures', 'arrays', 'stack', 'memory-management', 'fifo', 'heapalloc', 'big-o', 'recursion', 'set', 'sorting', 'linked-list']",multiway-tree,linear-search,bitstring,array-algorithms,topological-sort
['string'],algorithm,arrays,optimization,sorting,graph
['optimization'],memory-management,recursion,tree,boolean,hashtable
['sparse-matrix'],treenode,knapsack-problem,minimax,traveling-salesman,abstract-data-type
['arrays'],algorithm,optimization,list,memory-management,hash
['optimization'],memory-management,hash,recursion,substring,hashtable
"['optimization', 'string', 'binary-tree', 'data-structures', 'graph']",priority-queue,binary-search-tree,quicksort,probability,boolean-logic
['list'],algorithm,optimization,sorting,data-structures,recursion
"['algorithm', 'sorting']",data-structures,optimization,memory-management,recursion,tree
"['algorithm', 'optimization', 'string', 'tree-traversal', 'tree', 'data-structures', 'arrays', 'stack', 'sorting']",binary-search-tree,sparse-array,halting-problem,sparse-matrix,abstract-data-type
"['optimization', 'string', 'arrays', 'sorting', 'list']",hash,recursion,memory-management,boolean,hashtable
"['algorithm', 'list']",optimization,sorting,data-structures,memory-management,tree
"['algorithm', 'string', 'graph']",artificial-intelligence,graph-theory,heuristics,boolean-logic,code-complexity
"['complexity-theory', 'algorithm', 'hashtable', 'string', 'big-o', 'recursion', 'set', 'quicksort', 'list']",binary-search,b-tree,fifo,fibonacci,bubble-sort
['knapsack-problem'],clique,np,bellman-ford,planar-graph,adjacency-matrix
"['optimization', 'substring', 'string']",stack,boolean-logic,string-concatenation,string-matching,fibonacci
[],algorithm,string,arrays,optimization,data-structures
"['optimization', 'data-structures']",memory-management,complexity-theory,recursion,tree,boolean
['arrays'],algorithm,list,optimization,sorting,recursion
"['multidimensional-array', 'stack', 'memory-management']",queue,hashcode,graph,tree,string-comparison
"['complexity-theory', 'algorithm', 'string', 'binary-search-tree', 'tree', 'data-structures', 'arrays', 'graph', 'dynamic-programming', 'tail-recursion', 'recursion', 'sorting', 'list']",doubly-linked-list,avl-tree,minimax,graph-algorithm,linear-programming
"['boolean', 'arrays']",tree,queue,hashtable,multidimensional-array,hashmap
['data-structures'],optimization,recursion,hash,memory-management,tree
[],algorithm,string,arrays,optimization,data-structures
['string'],arrays,algorithm,optimization,list,sorting
"['string', 'data-structures', 'recursion', 'list']",set,stack,boolean,hashtable,multidimensional-array
"['probability', 'linear-programming', 'boolean-logic', 'artificial-intelligence', 'boolean-expression', 'algorithm', 'optimization', 'substring', 'hashtable', 'string', 'hash', 'hashmap', 'tree', 'data-structures', 'arrays', 'memory-management', 'fibonacci', 'recursion', 'set', 'sorting', 'list']",backtracking,set-theory,code-complexity,stability,string-substitution
"['finite-automata', 'algorithm', 'optimization', 'string', 'multidimensional-array', 'arrays', 'graph-algorithm', 'graph-theory', 'shortest-path', 'sorting', 'list']",greedy,directed-acyclic-graphs,traveling-salesman,recursive-datastructures,minimax
['string'],algorithm,optimization,arrays,list,sorting
"['algorithm', 'optimization', 'string', 'tree', 'graph', 'sorting']",artificial-intelligence,heuristics,probability,code-complexity,graph-theory
[],algorithm,string,arrays,optimization,list
['list'],algorithm,optimization,data-structures,sorting,hash
"['algorithm', 'optimization', 'string-concatenation', 'string', 'hashmap', 'data-structures', 'arrays', 'graph', 'stack', 'memory-management', 'list']",hashset,string-comparison,binary-search,string-matching,probability
[],algorithm,string,arrays,optimization,probability
[],algorithm,string,arrays,optimization,complexity-theory
"['string', 'list']",algorithm,optimization,sorting,data-structures,hash
['sorting'],recursion,hash,optimization,data-structures,memory-management
"['boolean', 'algorithm', 'optimization', 'hashtable', 'string', 'hash', 'binary-tree', 'data-structures', 'arrays', 'memory-management', 'recursion', 'binary-search']",boolean-logic,priority-queue,matrix-multiplication,binary-search-tree,boolean-expression
"['algorithm', 'memory-management']",hashtable,hashmap,tree,hash,stack
"['string', 'arrays', 'recursion', 'sorting', 'list']",boolean,set,multidimensional-array,queue,stack
"['algorithm', 'string-concatenation', 'string', 'hash', 'arrays', 'sorting']",string-matching,graph,string-comparison,hashcode,stack
"['string', 'arrays', 'list']",optimization,algorithm,sorting,data-structures,recursion
['string'],algorithm,arrays,optimization,list,data-structures
"['string-concatenation', 'string', 'list']",string-matching,stack,graph,hashcode,tree
['string'],algorithm,arrays,optimization,sorting,list
['list'],algorithm,memory-management,optimization,data-structures,sorting
[],algorithm,string,arrays,optimization,data-structures
"['optimization', 'graph-algorithm', 'graph-theory', 'combinatorics']",directed-acyclic-graphs,traveling-salesman,greedy,recursive-datastructures,shortest-path
['optimization'],memory-management,hashtable,tree,recursion,hash
['optimization'],memory-management,boolean-logic,complexity-theory,artificial-intelligence,recursion
"['optimization', 'arrays']",memory-management,recursion,hash,boolean,substring
"['substring', 'string', 'hash']",string-concatenation,string-matching,boolean-logic,stack,artificial-intelligence
"['boolean', 'string', 'data-structures', 'list']",queue,multidimensional-array,tree,set,substring
"['turing-machines', 'halting-problem', 'algorithm', 'computability', 'memory-management']",traveling-salesman,sparse-array,abstract-data-type,n-ary-tree,sparse-matrix
"['string', 'arrays']",algorithm,optimization,list,sorting,string-matching
"['string', 'data-structures', 'arrays', 'sorting', 'list']",optimization,memory-management,recursion,hash,boolean
['algorithm'],optimization,sorting,data-structures,hash,memory-management
"['probability', 'finite-automata', 'algorithm', 'optimization', 'string', 'data-structures', 'arrays', 'graph', 'path-finding', 'combinatorics', 'linked-list', 'list']",directed-graph,halting-problem,heuristics,binary-search-tree,sparse-matrix
['string'],algorithm,arrays,optimization,list,data-structures
"['boolean', 'arrays', 'memory-management', 'list']",queue,hashtable,tree,substring,hashmap
"['algorithm', 'optimization', 'string-concatenation', 'string', 'list']",string-matching,hashcode,graph,string-comparison,boolean-expression
[],algorithm,string,tail-recursion,probability,arrays
['string'],arrays,algorithm,optimization,list,sorting
[],algorithm,string,arrays,optimization,heap-memory
"['stack', 'linked-list']",queue,binary-tree,hashset,dynamic-arrays,dynamic-allocation
"['complexity-theory', 'artificial-intelligence', 'algorithm', 'string', 'data-structures']",heuristics,graph-theory,probability,combinatorics,boolean-logic
['data-structures'],optimization,memory-management,recursion,tree,hash
['algorithm'],optimization,memory-management,data-structures,sorting,recursion
['multidimensional-array'],string-concatenation,stack,graph,queue,substring
"['optimization', 'string', 'data-structures', 'arrays', 'list', 'set-theory']",string-substitution,stability,string-algorithm,automata,subset-sum
['string'],algorithm,arrays,optimization,sorting,list
"['proof', 'probability', 'boolean-logic', 'boolean', 'artificial-intelligence', 'automata', 'halting-problem', 'algorithm', 'hashtable', 'string', 'data-structures', 'arrays', 'graph', 'heap-memory', 'queue', 'sorting', 'linked-list', 'list']",minimax,backtracking,doubly-linked-list,knapsack-problem,traveling-salesman
['list'],algorithm,optimization,sorting,data-structures,hash
"['algorithm', 'hashtable', 'data-structures', 'arrays', 'recursion', 'sorting', 'list']",linked-list,tree,stack,multidimensional-array,substring
"['algorithm', 'string', 'breadth-first-search', 'depth-first-search', 'data-structures', 'linked-list', 'list']",sparse-matrix,knapsack-problem,minimax,treenode,np
"['algorithm', 'optimization', 'memory-management', 'time-complexity']",binary-tree,big-o,complexity-theory,np-complete,artificial-intelligence
"['artificial-intelligence', 'algorithm', 'optimization', 'string', 'multidimensional-array', 'arrays', 'shortest-path', 'memory-management', 'set', 'list']",matrix-multiplication,stability,greedy,recursive-datastructures,backtracking
"['algorithm', 'optimization', 'heap-memory', 'stack']",tree,priority-queue,binary-tree,mergesort,heap
['arrays'],algorithm,optimization,list,hashcode,memory-management
"['boolean', 'algorithm', 'optimization', 'hash', 'tree', 'arrays']",queue,graph,boolean-logic,artificial-intelligence,probability
"['probability', 'complexity-theory', 'subset-sum', 'algorithm', 'optimization', 'hashcode', 'string', 'hash', 'binary-tree', 'tree', 'data-structures', 'arrays', 'stack', 'memory-management', 'big-o', 'set', 'sorting', 'linked-list', 'list', 'singly-linked-list']",string-algorithm,minimax,divide-and-conquer,set-intersection,backtracking
"['algorithm', 'optimization', 'string', 'tree', 'multidimensional-array', 'arrays', 'graph', 'memory-management', 'list']",artificial-intelligence,probability,graph-theory,binary-search,code-complexity
['optimization'],memory-management,hash,recursion,substring,boolean
"['algorithm', 'hashset', 'string', 'hash', 'tree', 'data-structures', 'arrays', 'memory-management', 'sorting', 'linked-list', 'list']",binary-search,boolean-logic,probability,heuristics,partitioning
"['algorithm', 'arrays', 'sorting']",optimization,data-structures,recursion,boolean,hash
['list'],algorithm,optimization,sorting,data-structures,recursion
['algorithm'],optimization,sorting,data-structures,memory-management,recursion
['algorithm'],optimization,data-structures,sorting,memory-management,tree
[],algorithm,string,arrays,optimization,data-structures
[],algorithm,string,arrays,optimization,probability
"['artificial-intelligence', 'algorithm', 'optimization', 'string', 'hash', 'data-structures', 'arrays', 'stack', 'memory-management', 'recursion', 'sorting', 'linked-list', 'list']",binary-tree,probability,fibonacci,quicksort,heap
"['memory-management', 'set']",queue,stack,string-concatenation,graph,string-comparison
['memory-management'],hash,recursion,stack,hashtable,substring
"['complexity-theory', 'string', 'memory-management']",bubble-sort,binary-tree,quicksort,tree,fibonacci
"['data-structures', 'queue']",graph,partitioning,string-matching,string-comparison,graph-theory
['arrays'],algorithm,optimization,hash,list,memory-management
"['hashtable', 'hashmap']",tree,linked-list,stack,binary-search,binary-tree
[],algorithm,string,arrays,optimization,data-structures
"['optimization', 'string']",hash,recursion,substring,memory-management,boolean
"['data-structures', 'arrays']",optimization,boolean,recursion,memory-management,hash
"['string', 'arrays', 'sorting']",optimization,data-structures,recursion,hash,boolean
"['optimization', 'string', 'hashmap', 'arrays', 'heap-memory', 'memory-management', 'recursion']",hashtable,stack,binary-tree,multidimensional-array,binary-search
['algorithm'],optimization,sorting,data-structures,memory-management,tree
"['algorithm', 'optimization', 'arrays', 'knapsack-problem', 'time-complexity', 'sorting', 'insertion-sort']",np,adjacency-matrix,multiway-tree,set-intersection,heap-size
"['boolean', 'string', 'data-structures', 'arrays', 'list']",tree,queue,hashmap,hashtable,multidimensional-array
['string'],algorithm,optimization,arrays,list,sorting
"['boolean-logic', 'boolean', 'algorithm', 'optimization', 'substring', 'huffman-code', 'string', 'hash', 'binary-search-tree', 'ternary-search-tree', 'tree', 'data-structures', 'arrays', 'directed-graph', 'graph', 'priority-queue', 'stack', 'memory-management', 'circular-queue', 'time-complexity', 'recursion', 'radix-sort', 'binary-search', 'sorting', 'linked-list', 'singly-linked-list']",union-find,counting-sort,double-hashing,bellman-ford,graph-coloring
['algorithm'],optimization,sorting,data-structures,tree,recursion
"['algorithm', 'data-structures', 'arrays']",optimization,memory-management,boolean,hashtable,recursion
"['boolean-logic', 'boolean', 'algorithm', 'string']",heuristics,boolean-expression,code-complexity,finite-automata,set-theory
"['boolean', 'optimization', 'arrays', 'memory-management', 'queue']",graph,string-comparison,artificial-intelligence,string-matching,boolean-logic
"['artificial-intelligence', 'algorithm', 'string', 'arrays', 'graph-theory', 'graph', 'list']",heuristics,shortest-path,code-complexity,np-complete,path-finding
[],algorithm,string,arrays,optimization,heap-memory
"['string', 'recursion', 'list']",set,boolean,multidimensional-array,queue,stack
"['algorithm', 'set', 'list']",stack,queue,tree,hashcode,string-concatenation
"['boolean-logic', 'artificial-intelligence', 'hashmap', 'memory-management', 'list']",heuristics,code-complexity,priority-queue,boolean-expression,greedy
"['algorithm', 'optimization', 'string', 'arrays', 'recursion']",boolean,multidimensional-array,set,substring,string-concatenation
"['mathematical-optimization', 'algorithm', 'optimization', 'substring', 'hashtable', 'string', 'hash', 'hashmap', 'breadth-first-search', 'binary-tree', 'depth-first-search', 'data-structures', 'arrays', 'stack', 'memory-management', 'recursion', 'mergesort', 'sorting', 'list']",hash-function,array-merge,heap,hash-collision,sparse-matrix
"['boolean', 'algorithm', 'string', 'data-structures', 'list']",tree,queue,linked-list,hashtable,hashmap
"['arrays', 'sorting']",optimization,data-structures,recursion,hash,memory-management
['list'],algorithm,sorting,optimization,data-structures,hash
"['algorithm', 'arrays']",optimization,data-structures,sorting,memory-management,recursion
['arrays'],algorithm,optimization,list,sorting,data-structures
"['algorithm', 'optimization', 'string', 'hash', 'memory-management', 'list']",stack,recursion,hashtable,substring,hashmap
['optimization'],memory-management,hash,hashtable,linked-list,boolean
"['string', 'arrays', 'stack', 'memory-management', 'sorting']",string-matching,hashcode,boolean-logic,boolean-expression,hashset
"['algorithm', 'optimization', 'string', 'data-structures', 'arrays', 'memory-management', 'recursion', 'list']",boolean,set,multidimensional-array,stack,queue
[],algorithm,string,arrays,optimization,data-structures
['sorting'],optimization,data-structures,recursion,hash,boolean
"['huffman-code', 'string', 'arrays', 'memory-management']",graph-algorithm,np-hard,traveling-salesman,directed-acyclic-graphs,bubble-sort
"['boolean', 'algorithm', 'string', 'hash', 'arrays', 'recursion']",queue,substring,multidimensional-array,hashtable,string-concatenation
"['string', 'list']",algorithm,optimization,sorting,data-structures,recursion
"['algorithm', 'string', 'hash']",recursion,stack,substring,multidimensional-array,boolean
"['algorithm', 'multidimensional-array', 'arrays', 'sorting']",queue,string-concatenation,graph,set,stack
['string'],arrays,algorithm,hash,optimization,sorting
"['complexity-theory', 'boolean', 'artificial-intelligence', 'algorithm', 'optimization', 'hash', 'data-structures', 'big-o', 'linked-list']",graph-theory,binary-tree,greedy,bubble-sort,boolean-logic
"['string', 'arrays']",algorithm,optimization,hash,list,recursion
['algorithm'],optimization,data-structures,sorting,memory-management,linked-list
['algorithm'],optimization,data-structures,sorting,memory-management,tree
['algorithm'],optimization,sorting,data-structures,memory-management,recursion
['string'],arrays,algorithm,optimization,list,sorting
[],algorithm,string,arrays,optimization,data-structures
"['complexity-theory', 'algorithm', 'optimization', 'hashtable', 'string', 'data-structures', 'arrays', 'shortest-path', 'memory-management', 'big-o', 'sorting']",greedy,directed-acyclic-graphs,matrix-multiplication,minimax,insertion-sort
"['complexity-theory', 'boolean', 'artificial-intelligence', 'algorithm', 'optimization', 'substring', 'string', 'data-structures', 'arrays', 'big-o', 'recursion', 'set', 'bubble-sort', 'sorting', 'list']",b-tree,automata,sparse-matrix,proof,doubly-linked-list
"['artificial-intelligence', 'algorithm']",heuristics,np-complete,probability,shortest-path,graph-theory
[],algorithm,string,arrays,probability,optimization
"['hash', 'sorting']",recursion,boolean,hashtable,multidimensional-array,hashmap
"['string', 'memory-management']",hash,recursion,substring,stack,hashtable
"['finite-automata', 'boolean', 'boolean-operations', 'turing-machines', 'halting-problem', 'algorithm', 'optimization', 'string-concatenation', 'substring', 'hashtable', 'string-comparison', 'huffman-code', 'string', 'hash', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'priority-queue', 'heap-memory', 'stack', 'memory-management', 'heap', 'min-heap', 'tail-recursion', 'fibonacci', 'recursion', 'set', 'binary-search', 'linked-list', 'list']",set-intersection,string-substitution,recursive-datastructures,selection-sort,heapalloc
"['string', 'data-structures', 'arrays', 'time-complexity']",binary-tree,divide-and-conquer,big-o,complexity-theory,np-complete
['string'],algorithm,arrays,optimization,list,sorting
['optimization'],memory-management,hashtable,linked-list,hash,recursion
"['algorithm', 'string', 'memory-management', 'recursion']",hashtable,boolean,multidimensional-array,tree,substring
['string'],algorithm,arrays,optimization,list,sorting
['string'],algorithm,arrays,optimization,sorting,list
"['optimization', 'tree', 'arrays']",partitioning,queue,graph-theory,graph,probability
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'arrays']",optimization,sorting,data-structures,recursion,substring
['data-structures'],optimization,memory-management,recursion,tree,hash
"['algorithm', 'graph', 'heap-memory']",artificial-intelligence,probability,boolean-logic,binary-search,heuristics
"['string-concatenation', 'arrays']",graph,string-matching,string-comparison,hashcode,stack
['optimization'],memory-management,hashtable,boolean,recursion,linked-list
"['algorithm', 'string', 'sorting']",optimization,data-structures,substring,boolean-logic,artificial-intelligence
[],algorithm,string,arrays,probability,optimization
"['algorithm', 'string', 'multidimensional-array', 'arrays']",queue,set,string-comparison,tree,string-concatenation
"['optimization', 'string', 'arrays', 'linked-list']",tree,stack,priority-queue,binary-tree,substring
"['optimization', 'hashtable', 'hash', 'arrays']",substring,boolean-logic,stack,boolean-expression,multidimensional-array
['algorithm'],optimization,tree,memory-management,data-structures,sorting
"['boolean', 'optimization', 'arrays']",queue,hashtable,tree,substring,graph
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'hashmap', 'multidimensional-array', 'arrays']",stack,queue,set,tree,hashset
['data-structures'],optimization,memory-management,recursion,boolean,hash
['list'],algorithm,optimization,sorting,data-structures,recursion
['arrays'],algorithm,optimization,list,sorting,recursion
"['hash', 'recursion']",multidimensional-array,set,stack,boolean,substring
"['string', 'arrays']",algorithm,optimization,list,sorting,recursion
"['algorithm', 'list']",optimization,sorting,data-structures,recursion,hash
"['algorithm', 'string', 'heap-memory', 'memory-management']",binary-tree,hashtable,stack-memory,mergesort,priority-queue
['multidimensional-array'],set,queue,stack,string-concatenation,graph
"['algorithm', 'string', 'hash']",recursion,substring,string-concatenation,multidimensional-array,stack
"['string', 'data-structures', 'list']",optimization,memory-management,hashtable,recursion,substring
"['optimization', 'string', 'heap-memory']",binary-tree,hashtable,mergesort,stack-memory,heap
"['mathematical-optimization', 'algorithm', 'optimization', 'data-structures', 'traveling-salesman', 'memory-management', 'list']",recursive-datastructures,np-hard,sparse-array,knapsack-problem,minimax
['list'],algorithm,sorting,data-structures,optimization,recursion
[],algorithm,string,arrays,optimization,data-structures
"['string', 'data-structures']",optimization,recursion,boolean,memory-management,hash
"['np-complete', 'algorithm', 'optimization', 'knapsack-problem', 'sorting']",np,clique,planar-graph,adjacency-matrix,floyd-warshall
"['boolean', 'algorithm', 'hashcode', 'hashset', 'string', 'hash', 'hashmap', 'binary-tree', 'b-tree', 'avl-tree', 'data-structures', 'greedy', 'priority-queue', 'memory-management', 'big-o', 'binary-search', 'sorting', 'list']",doubly-linked-list,sparse-array,selection-sort,heapalloc,insertion-sort
['arrays'],algorithm,optimization,list,sorting,data-structures
['recursion'],set,multidimensional-array,string-concatenation,queue,boolean
"['optimization', 'memory-management']",hash,hashtable,substring,stack,recursion
"['algorithm', 'string-matching', 'string', 'hash', 'data-structures', 'arrays', 'recursion', 'list']",string-comparison,boolean-logic,boolean-expression,partitioning,boolean-operations
"['complexity-theory', 'boolean-expression', 'algorithm', 'optimization', 'substring', 'hashtable', 'string', 'hash', 'string-algorithm', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'graph-theory', 'graph', 'heap-memory', 'big-o', 'tail-recursion', 'partitioning', 'fibonacci', 'recursion', 'quicksort', 'sorting', 'linked-list', 'list']",amortized-analysis,consistent-hashing,heap-table,proof-of-correctness,edmonds-karp
"['artificial-intelligence', 'arrays']",heuristics,boolean-logic,code-complexity,probability,graph-theory
"['algorithm', 'string']",optimization,sorting,data-structures,memory-management,substring
"['string', 'arrays']",algorithm,optimization,list,sorting,data-structures
"['algorithm', 'substring', 'string', 'data-structures', 'sorting']",boolean-logic,tree,string-matching,fibonacci,stack
['algorithm'],optimization,sorting,data-structures,recursion,memory-management
"['optimization', 'string-concatenation', 'arrays', 'graph-theory']",heuristics,probability,code-complexity,mathematical-optimization,boolean-expression
"['algorithm', 'hashcode', 'hashset', 'string', 'arrays', 'memory-management', 'list']",boolean-expression,probability,boolean-operations,binary-search,code-complexity
['arrays'],algorithm,optimization,list,sorting,recursion
"['artificial-intelligence', 'optimization', 'multidimensional-array', 'arrays']",code-complexity,probability,heuristics,string-comparison,graph-theory
